CNT,OECD,MATHAVE,READAVE,SCIEAVE,PARED,LMINS,MMINS,SMINS,OUTHOURS,OUT_homework,OUT_guided_homework,OUT_personal_tutor,OUT_commercial_company,OUT_parents,OUT_computer,TIMEINT,LHOURS,MHOURS,SHOURS,SCHHOURS,COMHOURS
Chinese Taipei,Non-OECD,559.824796202,523.118903908,523.314904451,12.9374793252,161.655143897,155.057889514,115.1071783,6.56483625538,3.37777042673,0.772907707575,0.43152497519,0.926066821039,0.571452199802,0.485114125041,49.7461131326,2.69425239828,2.58429815856,1.91845297166,7.1970035285,0.829101885544
Colombia,Non-OECD,376.488601073,403.402534102,398.678631616,11.3095448033,123.72985782,138.075057864,105.417612697,7.16323156619,3.15287115618,1.13744075829,0.498071200265,0.584812079797,0.816708916566,0.973327455087,0.0,2.062164297,2.3012509644,1.75696021162,6.12037547302,0.0
Costa Rica,Non-OECD,406.999866989,440.54781067,429.350967542,12.0334637114,110.871360278,122.91503694,114.442633638,5.42568448501,2.07887874837,0.741199478488,0.644285093438,0.431116905693,0.621686223381,0.908518035637,41.9304650152,1.84785600464,2.04858394901,1.90737722729,5.80381718094,0.698841083587
Croatia,Non-OECD,471.131460759,484.565032126,491.356582834,13.5575079872,108.600239617,96.6134185304,117.513977636,7.10083865815,3.81369808307,0.79552715655,0.608626198083,0.212460063898,0.726837060703,0.943690095847,53.2641773163,1.81000399361,1.61022364217,1.95856629393,5.37879392971,0.887736288605
Czech Republic,OECD,498.957882318,492.889738211,508.299079354,13.6147925662,114.401351605,117.547963206,138.059695889,4.28158438145,2.03341467993,0.467993241975,0.254364557913,0.239909892998,0.537075276891,0.748826731744,55.87403792,1.90668919342,1.95913272011,2.30099493148,6.166816845,0.931233965334
Denmark,OECD,500.026756625,496.130881384,498.474201429,14.2980884908,187.769950541,134.325090229,104.678251571,4.79975939046,2.83264269483,0.594706590028,0.140489239406,0.114556877423,0.609677850555,0.507686138217,60.1029274161,3.12949917569,2.23875150381,1.74463752618,7.11288820568,1.00171545694
Estonia,OECD,520.545521677,516.294184313,541.404756164,13.7932621887,129.152542373,145.706214689,124.745762712,7.9342958778,4.49780288763,0.950198786357,0.385436283741,0.550742833229,0.594266582967,0.955848503871,64.404687173,2.15254237288,2.42843691149,2.0790960452,6.66007532957,1.07341145288
Finland,OECD,518.750335283,524.021669694,545.441939988,14.434194133,93.3292558614,108.303998188,112.013931363,3.03613093216,1.84732132744,0.38135689206,0.0937818552497,0.0903839619436,0.33152112357,0.291765771888,47.2261864311,1.55548759769,1.80506663646,1.86689885604,5.2274530902,0.787103107185
France,OECD,494.984674321,505.481483378,498.970894151,12.3550834598,114.220680685,110.310210275,91.1389551268,5.19401690874,3.20030349014,0.5562540646,0.252763928029,0.140472577498,0.526772165619,0.517450682853,0.0,1.90367801142,1.83850350459,1.51898258545,5.26116410145,0.0
Germany,OECD,513.52505582,507.676529766,524.120799257,11.1695660868,97.5170965807,100.23955209,126.023795241,4.375124975,2.525094981,0.0951809638072,0.26274745051,0.308338332334,0.518096380724,0.665666866627,44.149570086,1.62528494301,1.67065920149,2.10039658735,5.39634073185,0.7358261681
Greece,OECD,452.973426859,477.197176518,466.722029489,13.792195122,47.1127804878,79.6526829268,85.3859512195,8.8723902439,3.35063414634,1.10204878049,1.29892682927,1.84741463415,0.527609756098,0.745756097561,56.4610731707,0.78521300813,1.32754471545,1.42309918699,3.53585691057,0.941017886179
Hong Kong-China,Non-OECD,561.241096455,544.600085987,554.937434396,10.887366167,172.35503212,164.39764454,133.227837259,6.61284796574,3.86274089936,0.751177730193,0.454175588865,0.651391862955,0.313490364026,0.579871520343,54.0854389722,2.87258386867,2.73996074233,2.22046395432,7.83300856531,0.901423982869
Hungary,OECD,477.044455015,488.461333958,494.302351222,12.9161122661,104.81954262,95.2594594595,114.663201663,7.70769230769,4.10395010395,1.30228690229,0.558627858628,0.168191268191,0.781704781705,0.792931392931,56.4752598753,1.74699237699,1.58765765766,1.91105336105,5.2457033957,0.941254331254
Iceland,OECD,492.795697239,482.522439928,478.154596195,15.431299886,136.391676169,139.655359179,79.7961801596,4.92588369441,2.53876852908,0.732896237172,0.303591790194,0.148517673888,0.698118586089,0.503990877993,55.0535917902,2.27319460281,2.32758931965,1.32993633599,5.93072025846,0.91755986317
Indonesia,Non-OECD,375.114451682,396.120094523,381.911484866,10.1275346852,106.986481679,121.451085023,114.23550338,9.78014941302,3.0065812878,1.4831020989,1.14852365706,1.12789043045,1.58929206688,1.42475987193,0.0,1.78310802799,2.02418475039,1.90392505633,5.7112178347,0.0
Ireland,OECD,501.497460197,523.173210241,522.003959197,13.3554625199,115.360645933,120.620015949,89.2208931419,7.16028708134,4.78927432217,1.03349282297,0.253787878788,0.168062200957,0.438995215311,0.476674641148,37.7809011164,1.92267743222,2.01033359915,1.4870148857,5.42002591707,0.629681685274
Israel,OECD,466.481430149,485.803212444,470.072661823,12.918694362,105.672601385,135.053016815,98.4510385757,6.07754698318,2.84035608309,0.729970326409,0.729376854599,0.446488625124,0.650445103858,0.680909990109,43.4180019782,1.76121002308,2.25088361358,1.64085064293,5.65294427959,0.723633366304
Italy,OECD,485.321181013,489.754403285,493.541481805,13.1897789077,160.544009268,139.578251215,82.9036784347,9.08377047598,5.44173398127,1.05255366395,0.542239243073,0.250957422843,0.699610594407,1.09667557043,37.4855662472,2.67573348781,2.32630418691,1.38172797391,6.38376564863,0.624759437454
Japan,OECD,536.406918234,538.05148483,546.735599775,13.5394426075,128.127853881,146.857975122,103.05164541,3.67453944261,2.48763974177,0.490946307668,0.0442450007873,0.378837978271,0.181231302157,0.0916391119509,37.4534718942,2.13546423135,2.4476329187,1.7175274235,6.30062457356,0.62422453157
Jordan,Non-OECD,385.595556396,399.034747104,409.367214687,13.2043194089,146.385052572,125.20190395,152.390736005,6.74040920716,2.32239272521,0.860329639102,0.73302074453,0.565927820404,1.03779482808,1.22094344984,37.4649048025,2.4397508762,2.08669839917,2.53984560008,7.06629487544,0.624415080042
Kazakhstan,Non-OECD,431.798408505,392.736233327,424.707522974,14.231577135,65.5487258953,107.446280992,120.409435262,15.2932162534,5.5826446281,2.18526170799,1.66184573003,1.2479338843,2.05526859504,2.56026170799,0.0,1.09247876492,1.79077134986,2.00682392103,4.89007403581,0.0
Korea,OECD,553.766659144,535.790490356,537.787621535,13.8766143453,131.375720246,137.327240215,126.394993046,6.52414067157,1.86250745082,0.503278362805,0.891118617127,2.32565070534,0.261474269819,0.680111265647,29.8905225512,2.18959533744,2.28878733691,2.10658321743,6.58496589178,0.498175375853
Latvia,Non-OECD,490.571021411,488.694413789,502.186192088,13.1706920576,94.5935903391,140.092196935,138.398513702,8.59800278681,4.10822108686,1.05132373432,0.500928936368,1.02508128193,0.666744078031,1.2457036693,56.2048304691,1.57655983898,2.33486994891,2.30664189503,6.21807168292,0.936747174485
Liechtenstein,Non-OECD,534.965082979,515.521654089,524.694992276,13.3276450512,134.726962457,140.791808874,109.901023891,4.69624573379,2.22184300341,0.686006825939,0.143344709898,0.0682593856655,0.720136518771,0.856655290102,48.409556314,2.24544937429,2.3465301479,1.83168373151,6.4236632537,0.806825938567
Lithuania,Non-OECD,478.823277433,477.30661155,495.700086397,13.703334777,131.540710264,111.009094846,202.402555219,7.77999133824,4.29255088783,0.895842355998,0.379385015158,0.386530965786,0.692074491122,1.13360762235,0.0,2.19234517107,1.85015158077,3.37337592031,7.41587267215,0.0
Luxembourg,OECD,489.845098037,487.807042834,491.21517567,12.6797261316,116.936667935,129.042982122,94.2632179536,5.59946747813,2.96329402815,0.651958919741,0.337771015595,0.259984785089,0.655762647394,0.730696082161,0.0,1.94894446558,2.15071636871,1.57105363256,5.67071446684,0.0
Macao-China,Non-OECD,538.134494734,508.949255421,520.570875334,10.3516401125,173.392314902,179.170946579,100.414807873,7.2419868791,3.83636363636,1.17000937207,0.680412371134,0.421555763824,0.365698219306,0.767947516401,59.0041237113,2.88987191503,2.98618244299,1.67358013121,7.54963448922,0.983402061856
Malaysia,Non-OECD,420.512967619,398.196059788,419.502648534,12.6193958053,98.1802963248,98.9528574177,77.070617664,9.09236097749,3.02867038676,1.32653453916,1.05464691168,1.46315181836,1.10275158745,1.11660573408,0.0,1.63633827208,1.6492142903,1.2845102944,4.57006285678,0.0
Mexico,OECD,413.281466668,423.553761782,414.920147715,11.0377151985,136.127847128,152.177749512,148.693723008,7.95412057031,3.34283854937,1.18555877655,0.524640596344,0.328699047506,0.958350588653,1.61403301189,39.6129385316,2.26879745213,2.5362958252,2.4782287168,7.28332199412,0.660215642194
Montenegro,Non-OECD,409.626613284,422.11135427,410.097602263,13.4300168634,96.1277403035,91.3943929174,66.1056070826,6.18865935919,2.55902192243,0.762225969646,0.639966273187,0.383853288364,0.73018549747,1.11340640809,0.0,1.60212900506,1.52323988196,1.10176011804,4.22712900506,0.0
Netherlands,OECD,522.971758193,511.229965245,522.055821726,13.3466367713,101.92735426,101.816591928,96.8547085202,6.13744394619,3.64753363229,0.587443946188,0.254035874439,0.179820627803,0.632735426009,0.835874439462,56.6396860987,1.69878923767,1.6969431988,1.614245142,5.00997757848,0.943994768311
New Zealand,OECD,499.749902828,512.186793323,515.636318701,11.9304357959,151.83873223,150.060824983,149.094150548,4.63155441622,2.71148916337,0.575157305989,0.243066884176,0.148450244698,0.513866231648,0.439524586344,47.5905383361,2.53064553717,2.50101374971,2.48490250913,7.51656179601,0.793175638934
